osmid,y,x,street_count,highway,ref,geometry
104246177,40.447022,-79.9754196,3,,,POINT (-79.9754196 40.447022)
104246289,40.4448806,-79.9792895,4,,,POINT (-79.97928949999999 40.4448806)
104246700,40.4268984,-79.9201526,3,,,POINT (-79.92015259999999 40.4268984)
104246711,40.426415,-79.9203602,3,,,POINT (-79.9203602 40.426415)
104246724,40.4259913,-79.9205362,4,,,POINT (-79.9205362 40.4259913)
104246730,40.42554,-79.9207042,3,,,POINT (-79.9207042 40.42554)
104246735,40.4250705,-79.9208823,3,,,POINT (-79.9208823 40.4250705)
104247459,40.4076954,-80.0070129,3,,,POINT (-80.00701290000001 40.4076954)
104248050,40.394129,-79.8999116,3,,,POINT (-79.8999116 40.394129)
104248070,40.393411,-79.8995243,3,,,POINT (-79.8995243 40.393411)
104248713,40.3938908,-79.9921212,3,,,POINT (-79.9921212 40.3938908)
104248721,40.3933551,-79.9919277,3,,,POINT (-79.99192770000001 40.3933551)
104250466,40.4857743,-79.9391243,1,,,POINT (-79.9391243 40.4857743)
104250831,40.4044875,-80.0266287,3,,,POINT (-80.0266287 40.4044875)
104250838,40.4038604,-80.0266394,3,,,POINT (-80.02663939999999 40.4038604)
104250853,40.4053903,-80.0283855,3,,,POINT (-80.0283855 40.4053903)
104250917,40.4329874,-79.930534,4,,,POINT (-79.93053399999999 40.4329874)
104250998,40.4322702,-79.9305024,4,,,POINT (-79.93050239999999 40.4322702)
104348235,40.4831775,-79.9156144,3,,,POINT (-79.9156144 40.4831775)
104348248,40.4836587,-79.9151439,3,,,POINT (-79.9151439 40.4836587)
104348267,40.4882459,-79.8950451,3,,,POINT (-79.8950451 40.4882459)
104348284,40.4902839,-79.8967696,3,,,POINT (-79.8967696 40.4902839)
104348325,40.487273,-79.8955121,3,traffic_signals,,POINT (-79.8955121 40.487273)
104351256,40.4577913,-80.0043215,3,,,POINT (-80.0043215 40.4577913)
104351648,40.4575621,-79.9738727,4,,,POINT (-79.9738727 40.4575621)
104351658,40.4565789,-79.9752755,4,,,POINT (-79.9752755 40.4565789)
104351687,40.4556105,-79.9766965,4,,,POINT (-79.9766965 40.4556105)
104352187,40.424041,-79.9402785,1,,,POINT (-79.94027850000001 40.424041)
104353201,40.4582536,-79.9136156,3,,,POINT (-79.9136156 40.4582536)
104354096,40.4763454,-80.0106162,3,,,POINT (-80.0106162 40.4763454)
104354103,40.4768287,-80.0106197,3,,,POINT (-80.01061970000001 40.4768287)
104354758,40.4635753,-79.9781058,4,,,POINT (-79.97810579999999 40.4635753)
104354834,40.4476566,-79.9757874,3,,,POINT (-79.9757874 40.4476566)
104356483,40.4141874,-79.9215161,3,,,POINT (-79.92151610000001 40.4141874)
104356514,40.4144293,-79.9201607,3,,,POINT (-79.9201607 40.4144293)
104356527,40.4148465,-79.9196448,3,,,POINT (-79.9196448 40.4148465)
104356531,40.414689,-79.91926,3,,,POINT (-79.91925999999999 40.414689)
104357338,40.4885526,-80.0031816,3,,,POINT (-80.0031816 40.4885526)
104357343,40.4886521,-80.0035566,1,,,POINT (-80.0035566 40.4886521)
104359605,40.420893,-79.9700218,3,,,POINT (-79.9700218 40.420893)
104359624,40.4179607,-79.9693861,3,,,POINT (-79.96938609999999 40.4179607)
104359632,40.4176686,-79.9676936,3,,,POINT (-79.9676936 40.4176686)
104359690,40.4139397,-79.9651375,1,,,POINT (-79.9651375 40.4139397)
104360313,40.4465934,-79.9230365,3,,,POINT (-79.92303649999999 40.4465934)
104360323,40.4467582,-79.9228705,3,,,POINT (-79.9228705 40.4467582)
104361144,40.4299056,-79.8913401,3,,,POINT (-79.89134009999999 40.4299056)
104361659,40.4467875,-79.9406626,1,,,POINT (-79.9406626 40.4467875)
104361808,40.4380451,-79.994297,3,traffic_signals,,POINT (-79.994297 40.4380451)
104362422,40.4444312,-79.926252,3,,,POINT (-79.92625200000001 40.4444312)
104362428,40.4444785,-79.9274772,1,,,POINT (-79.9274772 40.4444785)
104362823,40.4941426,-80.0078072,3,,,POINT (-80.0078072 40.4941426)
104362952,40.4057967,-80.0159568,3,,,POINT (-80.0159568 40.4057967)
104362962,40.4056453,-80.0150294,4,traffic_signals,,POINT (-80.0150294 40.4056453)
104362974,40.4041903,-80.0158127,1,,,POINT (-80.0158127 40.4041903)
104363175,40.4649475,-79.9362779,3,,,POINT (-79.93627789999999 40.4649475)
104363212,40.4550351,-79.9414632,3,traffic_signals,,POINT (-79.9414632 40.4550351)
104363319,40.393272,-79.9925149,3,,,POINT (-79.9925149 40.393272)
104363613,40.4329451,-80.0190989,3,,,POINT (-80.0190989 40.4329451)
104363692,40.432767,-80.0129956,3,,,POINT (-80.0129956 40.432767)
104363698,40.4316648,-80.013359,3,,,POINT (-80.01335899999999 40.4316648)
104364623,40.4964324,-79.9420289,3,,,POINT (-79.9420289 40.4964324)
104364858,40.4564386,-80.0291357,3,,,POINT (-80.0291357 40.4564386)
104365065,40.4231378,-79.8962983,4,,,POINT (-79.8962983 40.4231378)
104365084,40.421522,-79.8974798,3,,,POINT (-79.8974798 40.421522)
104365092,40.4224609,-79.8956979,4,,,POINT (-79.8956979 40.4224609)
104365104,40.4266742,-79.9397721,3,,,POINT (-79.9397721 40.4266742)
104365108,40.426674,-79.9386081,3,,,POINT (-79.9386081 40.426674)
104365201,40.4649656,-80.0286901,3,,,POINT (-80.02869010000001 40.4649656)
104367329,40.4185193,-79.9287833,3,,,POINT (-79.92878330000001 40.4185193)
104367338,40.4190252,-79.9289135,3,,,POINT (-79.92891349999999 40.4190252)
104367373,40.4193204,-79.9291658,3,,,POINT (-79.92916580000001 40.4193204)
104367413,40.4185576,-79.9283078,3,,,POINT (-79.9283078 40.4185576)
104368373,40.4265892,-79.9884904,3,,,POINT (-79.9884904 40.4265892)
104368397,40.4260245,-79.9887942,3,,,POINT (-79.9887942 40.4260245)
104368421,40.3997379,-79.9202048,4,,,POINT (-79.92020479999999 40.3997379)
104368441,40.3977961,-79.9225671,3,,,POINT (-79.92256709999999 40.3977961)
104368448,40.3974657,-79.9221707,3,,,POINT (-79.9221707 40.3974657)
104369177,40.4051841,-79.9859418,3,,,POINT (-79.98594180000001 40.4051841)
104369552,40.4833584,-79.9362915,4,,,POINT (-79.9362915 40.4833584)
104369559,40.4820139,-79.9372694,3,,,POINT (-79.93726940000001 40.4820139)
104371210,40.4399943,-79.9576053,3,,,POINT (-79.9576053 40.4399943)
104371294,40.4069802,-79.9850206,1,,,POINT (-79.9850206 40.4069802)
104373095,40.39075,-80.0096226,3,,,POINT (-80.0096226 40.39075)
104373116,40.3913548,-80.008864,3,,,POINT (-80.008864 40.3913548)
104373141,40.3923654,-80.0093242,3,,,POINT (-80.00932419999999 40.3923654)
104373971,40.4280981,-79.8963381,3,,,POINT (-79.89633809999999 40.4280981)
104373978,40.4288067,-79.896877,4,,,POINT (-79.896877 40.4288067)
104374066,40.476507,-80.0114656,3,,,POINT (-80.01146559999999 40.476507)
104375383,40.4279209,-79.9469269,1,,,POINT (-79.94692689999999 40.4279209)
104375405,40.4510447,-79.995794,3,,,POINT (-79.995794 40.4510447)
104376228,40.4170495,-80.0190139,3,,,POINT (-80.0190139 40.4170495)
104377007,40.4840217,-80.0253993,3,,,POINT (-80.0253993 40.4840217)
104377022,40.485214,-80.0256206,1,,,POINT (-80.0256206 40.485214)
104377324,40.4692459,-79.9176405,3,,,POINT (-79.9176405 40.4692459)
104377338,40.4693568,-79.9180646,3,,,POINT (-79.91806459999999 40.4693568)
104377348,40.4694778,-79.9185285,4,,,POINT (-79.91852849999999 40.4694778)
104377355,40.4696089,-79.9190499,3,,,POINT (-79.9190499 40.4696089)
104377364,40.4697467,-79.9195845,4,,,POINT (-79.9195845 40.4697467)
104377374,40.4698916,-79.9200975,3,,,POINT (-79.9200975 40.4698916)
104377384,40.4706022,-79.9185975,1,,,POINT (-79.9185975 40.4706022)
104378286,40.4703169,-79.9176218,1,,,POINT (-79.91762180000001 40.4703169)
104378304,40.4721953,-79.9198662,3,,,POINT (-79.9198662 40.4721953)
104378307,40.4720296,-79.9191935,3,,,POINT (-79.91919350000001 40.4720296)
104378313,40.4719792,-79.9189152,1,,,POINT (-79.9189152 40.4719792)
104378336,40.4716767,-79.9193128,1,,,POINT (-79.9193128 40.4716767)
104378524,40.4653286,-79.9203697,3,,,POINT (-79.92036969999999 40.4653286)
104378536,40.4659521,-79.9199907,1,,,POINT (-79.9199907 40.4659521)
104378550,40.4575193,-79.942208,3,,,POINT (-79.94220799999999 40.4575193)
104378561,40.4579877,-79.9430867,3,,,POINT (-79.94308669999999 40.4579877)
104378722,40.4587544,-79.9493887,4,,,POINT (-79.9493887 40.4587544)
104378729,40.4590861,-79.9491526,3,,,POINT (-79.94915260000001 40.4590861)
104379768,40.4142469,-80.0285331,4,,,POINT (-80.0285331 40.4142469)
104380773,40.4648642,-79.9813272,3,,,POINT (-79.9813272 40.4648642)
104381030,40.4481569,-79.898207,3,traffic_signals,,POINT (-79.898207 40.4481569)
104381084,40.4684177,-80.0146553,3,,,POINT (-80.0146553 40.4684177)
104381097,40.4686462,-80.0151025,3,,,POINT (-80.0151025 40.4686462)
104381579,40.4504069,-80.0251194,3,,,POINT (-80.02511939999999 40.4504069)
104381908,40.4627159,-80.0303882,3,,,POINT (-80.0303882 40.4627159)
104381983,40.4265032,-80.0044386,3,,,POINT (-80.0044386 40.4265032)
104381991,40.4264836,-80.0034258,1,,,POINT (-80.0034258 40.4264836)
104383226,40.4529283,-79.9013576,3,,,POINT (-79.9013576 40.4529283)
104383242,40.4667301,-79.8992201,3,,,POINT (-79.89922009999999 40.4667301)
104383247,40.466304,-79.8998402,3,,,POINT (-79.8998402 40.466304)
104383257,40.4660273,-79.9001825,3,,,POINT (-79.9001825 40.4660273)
104383271,40.4668109,-79.9008267,1,,,POINT (-79.9008267 40.4668109)
104383287,40.4544515,-79.9434423,3,,,POINT (-79.9434423 40.4544515)
104383297,40.4536225,-79.9412451,1,,,POINT (-79.9412451 40.4536225)
104383328,40.4448606,-79.9415981,3,,,POINT (-79.94159809999999 40.4448606)
104383352,40.4444714,-79.9419585,3,,,POINT (-79.9419585 40.4444714)
104383496,40.4575782,-79.9904516,3,,,POINT (-79.9904516 40.4575782)
104383533,40.4201068,-80.0077377,3,,,POINT (-80.00773770000001 40.4201068)
104383652,40.4951945,-79.9598651,3,,,POINT (-79.9598651 40.4951945)
104383857,40.4228043,-79.9682917,3,,,POINT (-79.96829169999999 40.4228043)
104384175,40.4862994,-79.9686787,3,,,POINT (-79.9686787 40.4862994)
104384182,40.4866253,-79.9687257,1,,,POINT (-79.96872569999999 40.4866253)
104384214,40.446253,-79.9707055,3,,,POINT (-79.97070549999999 40.446253)
104384223,40.4455559,-79.9703523,3,,,POINT (-79.9703523 40.4455559)
104384234,40.4460677,-79.9689337,3,,,POINT (-79.96893369999999 40.4460677)
104384237,40.4454436,-79.968564,3,,,POINT (-79.968564 40.4454436)
104384301,40.4233704,-79.8958742,3,,,POINT (-79.89587419999999 40.4233704)
104384340,40.4244862,-79.897521,4,,,POINT (-79.897521 40.4244862)
104384346,40.4252608,-79.8960491,1,,,POINT (-79.8960491 40.4252608)
104385325,40.4170051,-79.9269279,3,,,POINT (-79.9269279 40.4170051)
104385436,40.4148534,-79.9283292,3,,,POINT (-79.92832919999999 40.4148534)
104385444,40.4147482,-79.9285545,3,,,POINT (-79.9285545 40.4147482)
104385461,40.4145611,-79.9263851,3,,,POINT (-79.9263851 40.4145611)
104385497,40.4132416,-79.9279889,3,,,POINT (-79.9279889 40.4132416)
104385508,40.4112137,-79.9280419,4,,,POINT (-79.9280419 40.4112137)
104385901,40.4955429,-80.0196213,1,,,POINT (-80.0196213 40.4955429)
104386076,40.4554325,-80.027261,3,,,POINT (-80.027261 40.4554325)
104386081,40.4548931,-80.0270799,3,,,POINT (-80.0270799 40.4548931)
104386492,40.4000843,-79.9051017,3,,,POINT (-79.9051017 40.4000843)
104386856,40.4029158,-79.9143483,3,,,POINT (-79.9143483 40.4029158)
104386859,40.4030954,-79.9141194,3,,,POINT (-79.9141194 40.4030954)
104386975,40.4224387,-79.9659019,3,,,POINT (-79.96590190000001 40.4224387)
104388739,40.4735117,-79.9229136,3,,,POINT (-79.9229136 40.4735117)
104388748,40.4721797,-79.923686,3,,,POINT (-79.923686 40.4721797)
104391761,40.4403251,-79.9786448,4,,,POINT (-79.9786448 40.4403251)
104391774,40.4408967,-79.9790954,1,,,POINT (-79.97909540000001 40.4408967)
104392856,40.4357968,-80.015751,3,,,POINT (-80.01575099999999 40.4357968)
104398591,40.4255228,-79.9263189,4,,,POINT (-79.9263189 40.4255228)
104398605,40.4256031,-79.9267768,3,,,POINT (-79.9267768 40.4256031)
104398646,40.4497973,-79.9958391,3,,,POINT (-79.9958391 40.4497973)
104398655,40.4500197,-79.9954475,3,,,POINT (-79.9954475 40.4500197)
104399518,40.4983404,-80.0042131,1,,,POINT (-80.0042131 40.4983404)
104400082,40.4256138,-79.9187416,3,,,POINT (-79.9187416 40.4256138)
104400094,40.4258309,-79.9186555,1,,,POINT (-79.9186555 40.4258309)
